Owner,API #,Longitude,Latitude,Property #,Lease / Well Name,Tank MID,Tank Name,Tank Nbr,Tank Size,BBLS Per Inch,SEC,TWP,RNG,COUNTY
"Continental Resources, Inc.",3302501009,-102.9745323,47.4737462,209057,Arthur 1-12H,4783,Arthur 1 - Tank 3,3,404.56,1.685666667,12,146N,097W,DUNN
"Continental Resources, Inc.",3310501754,-102.8934909,48.6323895,209070,Omar 2-1H,4411,Omar 2 - Tank 1,1,404.61066,1.68587775,1,159N,095W,WILLIAMS
"Continental Resources, Inc.",3310501754,-102.8934909,48.6323895,209070,Omar 2-1H,4412,Omar 2 - Tank 2,2,404.66346,1.68609775,1,159N,095W,WILLIAMS
"Continental Resources, Inc.",3310501754,-102.8934909,48.6323895,209070,Omar 2-1H,4413,Omar 2 - Tank 3,3,404.77031,1.686542958,1,159N,095W,WILLIAMS
"Continental Resources, Inc.",3305303027,-102.7360797,48.0240776,209095,Bohmbach 1-35H,4319,Bohmbach - 40684,1,400.90191,1.670424625,26,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303027,-102.7360797,48.0240776,209095,Bohmbach 1-35H,4320,Bohmbach - 41013,2,400.90066,1.670419417,26,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303027,-102.7360797,48.0240776,209095,Bohmbach 1-35H,4321,Bohmbach - 41014,3,400.84786,1.670199417,26,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303031,-102.702777,48.021801,209096,Rollefstad 1-3H,4348,Rollefstad - Tank 1,1,404.61191,1.685882958,3,152N,094W,MC KENZIE
"Continental Resources, Inc.",3305303031,-102.702777,48.021801,209096,Rollefstad 1-3H,4349,Rollefstad - Tank 2,2,404.55786,1.68565775,3,152N,094W,MC KENZIE
"Continental Resources, Inc.",3305303031,-102.702777,48.021801,209096,Rollefstad 1-3H,4350,Rollefstad - Tank 3,3,404.55786,1.68565775,3,152N,094W,MC KENZIE
"Continental Resources, Inc.",3305303040,-102.7144001,48.0241461,209097,Hendrickson 1-36H,4383,Hendrickson 1-36 - Tank 1,1,404.55786,1.68565775,36,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303040,-102.7144001,48.0241461,209097,Hendrickson 1-36H,4384,Hendrickson 1-36 - Tank 2,2,404.55786,1.68565775,36,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303040,-102.7144001,48.0241461,209097,Hendrickson 1-36H,4385,Hendrickson 1-36 - Tank 3,3,404.61191,1.685882958,36,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303040,-102.7144001,48.0241461,209097,Hendrickson 1-36H,4386,Hendrickson 1-36 - Tank 4,4,404.66471,1.686102958,36,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303028,-102.779566,48.0532174,209098,Simmental 1-21H,4364,Simmental - Tank 1,1,404.61066,1.68587775,21,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303028,-102.779566,48.0532174,209098,Simmental 1-21H,4365,Simmental - Tank 2,2,404.61066,1.68587775,21,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305303028,-102.779566,48.0532174,209098,Simmental 1-21H,4366,Simmental - Tank 3,3,404.55786,1.68565775,21,153N,094W,MC KENZIE
